name,type,category,power,accuracy,flavor
Bone Club,Ground,Physical,65,85,"An attack that may cause flinching.|Clubs the foe with a bone. May cause flinching.|The foe is clubbed with a bone held in hand. It may make the foe flinch.|The user clubs the foe with a bone. It may also make the target flinch. |The user clubs the target with a bone. It may also make the target flinch.|The user clubs the target with a bone. This may also make the target flinch.|This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Fire Blast,Fire,Special,110,85,An attack that may cause a burn.|A fiery blast that scorches all. May cause a burn.|Incinerates everything it strikes. May cause a burn.|The foe is hit with an intense flame. It may leave the target with a burn.|The foe is attacked with an intense blast of all-consuming fire. It may also leave the target with a burn.|The target is attacked with an intense blast of all-consuming fire. It may also leave the target with a burn.|The target is attacked with an intense blast of all-consuming fire. This may also leave the target with a burn.
Waterfall,Water,Physical,80,100,"An aquatic charge attack.|Charges the foe with speed to climb waterfalls.|A powerful charge attack. It can also be used to climb a waterfall.|The user charges the foe at an awesome speed. It can also be used to climb a waterfall.|The user charges at the foe rapidly, and may make it flinch. It can also be used to climb a waterfall.|The user charges at the target and may make it flinch. It can also be used to climb a waterfall.|The user charges at the target and may make it flinch. This can also be used to climb a waterfall.|The user charges at the target and may make it flinch."
Clamp,Water,Physical,35,85,"Traps the foe for 2-5 turns.|Traps and squeezes the foe for 2 to 5 turns.|The foe is clamped and squeezed by the user’s shell for two to five turns.|The foe is clamped and squeezed by the user’s very thick and sturdy shell for two to five turns.|The target is clamped and squeezed by the user’s very thick and sturdy shell for four to five turns.|This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Swift,Normal,Special,60,100,An attack that never misses.|Sprays star-shaped rays that never miss.|Star-shaped rays that never miss are fired at all foes in battle.|Star-shaped rays are shot at the foe. This attack never misses. |Star-shaped rays are shot at the opposing team. This attack never misses.|Star-shaped rays are shot at the opposing Pokémon. This attack never misses.|Star-shaped rays are shot at opposing Pokémon. This attack never misses.
Skull Bash,Normal,Physical,130,100,"1st turn: Prepare 2nd turn: Attack|Tucks in the head, then attacks on the next turn.|The user raises its DEFENSE in the 1st turn, then attacks in the 2nd turn.|The user tucks in its head to raise its Defense in the first turn, then rams the foe on the next turn.|The user tucks in its head to raise its Defense in the first turn, then rams the target on the next turn.|The user tucks in its head to raise its Defense stat on the first turn, then rams the target on the next turn."
Spike Cannon,Normal,Physical,20,100,"Fires spikes to hit 2-5 times.|Launches sharp spikes that strike 2 to 5 times.|Sharp spikes are fired at the foe to strike two to five times.|Sharp spikes are fired at the foe to strike two to five times in rapid succession.|Sharp spikes are shot at the target in rapid succession. They hit two to five times in a row.|This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Constrict,Normal,Physical,10,100,"An attack that may lower SPEED.|Constricts to inflict pain. May lower SPEED.|The foe is attacked with long tentacles or vines. It may lower SPEED.|The foe is attacked with long, creeping tentacles or vines. It may also lower the target’s Speed.|The target is attacked with long, creeping tentacles or vines. It may also lower the target’s Speed stat.|The target is attacked with long, creeping tentacles or vines. This may also lower the target’s Speed stat.|The target is attacked with long, creeping tentacles, vines, or the like. This may also lower the target’s  Speed stat.|The target is attacked with long, creeping tentacles, vines, or the like. This may also lower the target’s Speed stat.|This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Amnesia,Psychic,Status,0,100,Sharply raises the user's SPCL.DEF.|Forgets about something and sharply raises SP. DEF.|The user temporarily empties its mind to forget its concerns. It sharply raises the user’s Sp. Def stat.|The user temporarily empties its mind to forget its concerns. This sharply raises the user’s Sp. Def stat.
Kinesis,Psychic,Status,0,80,Reduces the foe's accuracy.|Distracts the foe. May lower accuracy.|The user distracts the foe by bending a spoon. It may lower accuracy.|The user distracts the foe by bending a spoon. It may lower the target’s accuracy.|The user distracts the target by bending a spoon. It lowers the target’s accuracy.|The user distracts the target by bending a spoon. This lowers the target’s accuracy.
Soft Boiled,Normal,Status,0,100,Restores HP by 1/2 the user's max HP.|Recovers up to half the user’s maximum HP.|Heals the user by up to half its full HP. It can be used to heal an ally.|The user restores its own HP by up to half of its max HP. May be used in the field to heal HP.|The user restores its own HP by up to half of its maximum HP. It may also be used to heal an ally’s HP.|The user restores its own HP by up to half of its maximum HP. May also be used in the field to heal HP.|The user restores its own HP by up to half of its max HP. May also be used in the field to heal HP.|The user restores its own HP by up to half of its max HP.
High Jump Kick,Fighting,Physical,130,90,"May miss and hurt the user.|A jumping knee kick. If it misses, the user is hurt.|A strong jumping knee kick. If it misses, the user is hurt.|The foe is attacked with a knee kick from a jump. If it misses, the user is hurt instead.|The target is attacked with a knee kick from a jump. If it misses, the user is hurt instead."
Glare,Normal,Status,0,100,A move that may cause paralysis.|Intimidates and frightens the foe into paralysis.|The user intimidates the foe with the design on its belly to cause paralysis.|The user intimidates the foe with the pattern on its belly to cause paralysis. |The user intimidates the target with the pattern on its belly to cause paralysis.
Dream Eater,Psychic,Special,100,100,Steals HP from a sleeping victim.|Takes one half the damage inflicted on a sleeping foe.|Absorbs half the damage it inflicted on a sleeping foe to restore HP.|An attack that works only on a sleeping foe. It absorbs half the damage caused to heal the user’s HP.|The user eats the dreams of a sleeping target. It absorbs half the damage caused to heal the user’s HP.|The user eats the dreams of a sleeping target. It absorbs half the damage caused to heal its own HP.|The user eats the dreams of a sleeping target. The user’s HP is restored by half the damage taken by the target.
Poison Gas,Poison,Status,0,90,"A move that may poison the foe.|Envelops the foe in a toxic gas that may poison.|The foe is sprayed with a cloud of toxic gas that may poison the foe.|A cloud of poison gas is sprayed in the foe’s face. It may poison the target.|A cloud of poison gas is sprayed in the face of opposing Pokémon. It may poison those hit.|A cloud of poison gas is sprayed in the face of opposing Pokémon. This may also poison those hit.|A cloud of poison gas is sprayed in the face of opposing Pokémon, poisoning those hit.|A cloud of poison gas is sprayed in the face of opposing Pokémon, poisoning those it hits."
Barrage,Normal,Physical,15,85,"Throws orbs to hit 2-5 times.|Hurls round objects at the foe 2 to 5 times.|Round objects are hurled at the foe to strike two to five times.|Round objects are hurled at the foe to strike two to five times in a row. |Round objects are hurled at the target to strike two to five times in a row.|This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Leech Life,Bug,Physical,80,100,Steals 1/2 of the damage inflicted.|An attack that steals half the damage inflicted.|An attack that absorbs half the damage it inflicted to restore HP.|A blood-draining attack. The user’s HP is restored by half the damage taken by the target.|The user drains the target’s blood. The user’s HP is restored by half the damage taken by the target.
Lovely Kiss,Normal,Status,0,75,"May cause the foe to fall asleep.|Demands a kiss with a scary face that induces sleep.|The user forces a kiss on the foe with a scary face that induces sleep.|With a scary face, the user forces a kiss on the foe. It may make the target fall asleep.|With a scary face, the user tries to force a kiss on the foe. If it succeeds, the target falls asleep.|With a scary face, the user tries to force a kiss on the target. If it succeeds, the target falls asleep."
Sky Attack,Flying,Physical,140,90,"1st turn: Prepare 2nd turn: Attack|Searches out weak spots, then strikes the next turn.|A 2nd-turn attack move with a high critical-hit ratio. The foe may flinch.|A second-turn attack move with a high critical-hit ratio. It may also make the target flinch.|A second-turn attack move where critical hits land more easily. It may also make the target flinch.|A second-turn attack move where critical hits land more easily. This may also make the target flinch."
Transform,Normal,Status,0,100,The user assumes the foe's guise.|Alters the user’s cells to become a copy of the foe.|The user transforms into a copy of the foe with even the same move set.|The user transforms into a copy of the foe right down to having the same move set.|The user transforms into a copy of the target right down to having the same move set.
Bubble,Water,Special,40,100,"An attack that may reduce SPEED.|An attack using bubbles. May lower the foe’s SPEED.|A spray of bubbles hits the foe. It may lower the foe’s SPEED stat.|A spray of countless bubbles is jetted at the foe. It may also lower the target’s Speed stat.|A spray of countless bubbles is jetted at the opposing team. It may also lower the targets’ Speed stats.|A spray of countless bubbles is jetted at the opposing Pokémon. This may also lower their Speed stats.|A spray of countless bubbles is jetted at the opposing Pokémon. This may also lower their Speed stat.|This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Dizzy Punch,Normal,Physical,70,100,"An attack that may cause confusion.|A rhythmic punch that may confuse the foe.|The foe is hit with a rhythmic punch that may leave it confused.|The foe is hit with a rhythmically launched punch that may also leave it confused. |The foe is hit with rhythmically launched punches that may also leave it confused. |The target is hit with rhythmically launched punches that may also leave it confused.|The target is hit with rhythmically launched punches. This may also leave the target confused.|This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Spore,Grass,Status,0,100,A move that induces sleep.|Scatters a cloud of spores that always induce sleep.|The user scatters bursts of fine spores that induce sleep.|The user scatters bursts of spores that induce sleep.  |The user scatters bursts of spores that induce sleep.
Flash,Normal,Status,0,100,"Blinds the foe to reduce accuracy.|Looses a powerful blast of light that cuts accuracy.|A blast of light that cuts the foe’s accuracy. It also illuminates caves.|The user flashes a light that cuts the foe’s accuracy. It can also be used to illuminate caves.|The user flashes a bright light that cuts the target’s accuracy. It can also be used to illuminate caves.|The user flashes a bright light that cuts the target’s accuracy.|The user flashes a bright light that cuts the target’s accuracy. It can also be used to illuminate dark caves.|This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Psywave,Psychic,Special,0,100,"An attack with variable power.|Attacks with a psychic wave of varying intensity.|The foe is attacked with an odd, hot energy wave that varies in intensity.|The foe is attacked with an odd, hot energy wave. The attack varies in intensity.|The target is attacked with an odd  psychic wave. The attack varies in intensity.|The target is attacked with an odd psychic wave. The attack varies in intensity.|This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Splash,Normal,Status,0,100,Has no effect whatsoever.|It’s just a splash... Has no effect whatsoever.|The user just flops and splashes around without having any effect.|The user just flops and splashes around to no effect at all...  |The user just flops and splashes around to no effect at all...
Acid Armor,Poison,Status,0,100,"Sharply raises the user's DEFENSE.|Liquifies the user’s body to sharply raise DEFENSE.|The user alters its cells to liquefy itself and sharply raise DEFENSE.|The user alters its cellular structure to liquefy itself, sharply raising its Defense stat."
Crabhammer,Water,Physical,100,90,Has a high criti­ cal hit ratio.|Hammers with a pincer. Has a high critical-hit ratio.|A large pincer is used to hammer the foe. It has a high critical-hit ratio.|The foe is hammered with a large pincer. This move has a high critical-hit ratio. |The target is hammered with a large pincer. Critical hits land more easily.
Explosion,Normal,Physical,250,100,Very powerful but makes user faint.|Inflicts severe damage but makes the user faint.|The user explodes to inflict terrible damage even while fainting itself.|The user explodes to inflict damage on all Pokémon in battle. The user faints upon using this move.|The user explodes to inflict damage on those around it. The user faints upon using this move.|The user attacks everything around it by causing a tremendous explosion. The user faints upon using this move.
Fury Swipes,Normal,Physical,18,80,"Quickly scratches 2-5 times.|Rakes the foe with sharp claws, etc., 2 to 5 times.|The foe is raked with sharp claws or scythes two to five times.|The foe is raked with sharp claws or scythes for two to five times in quick succession.|The target is raked with sharp claws or scythes for two to five times in quick succession.|The target is raked with sharp claws or scythes quickly two to five times in a row."
Bonemerang,Ground,Physical,50,90,"An attack that strikes twice.|Throws a bone boomerang that strikes twice.|The user throws a bone that hits the foe once, then once again on return.|The user throws the bone it holds. The bone loops to hit the foe twice, coming and going.|The user throws the bone it holds. The bone loops to hit the target twice, coming and going.|The user throws the bone it holds. The bone loops around to hit the target twice—coming and going."
Rest,Psychic,Status,0,100,"Sleep for 2 turns to fully recover.|The user sleeps for 2 turns, restoring HP and status.|The user sleeps for two turns to fully restore HP and heal any status problem.|The user goes to sleep for two turns. It fully restores the user’s HP and heals any status problem.|The user goes to sleep for two turns. This fully restores the user’s HP and heals any status conditions."
Rock Slide,Rock,Physical,75,90,An attack that may cause flinching.|Large boulders are hurled. May cause flinching.|Large boulders are hurled at the foe. It may make the foe flinch.|Large boulders are hurled at the foe to inflict damage. It may also make the target flinch.|Large boulders are hurled at the opposing team to inflict damage. It may also make the targets flinch.|Large boulders are hurled at the opposing Pokémon to inflict damage. This may also make the opposing Pokémon flinch.|Large boulders are hurled at opposing Pokémon to inflict damage. This may also make the opposing Pokémon flinch.
Hyper Fang,Normal,Physical,80,90,An attack that may cause flinching.|Attacks with sharp fangs. May cause flinching.|The foe is attacked with sharp fangs. It may make the foe flinch.|The user bites hard on the foe with its sharp front fangs. It may also make the target flinch.|The user bites hard on the target with its sharp front fangs. It may also make the target flinch.|The user bites hard on the target with its sharp front fangs. This may also make the target flinch.
Sharpen,Normal,Status,0,100,"A move that raises the user's ATTACK.|Reduces the polygon count and raises ATTACK.|The user reduces its polygon count to sharpen edges and raise ATTACK.|The user reduces its polygon count to make itself more jagged, raising the Attack stat.|The user lowers its polygon count to make itself more jagged, raising the Attack stat.|The user makes its edges more jagged,  which raises its Attack stat.|The user makes its edges more jagged, which raises its Attack stat.|This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Conversion,Normal,Status,0,100,Change user's type to a move's type.|Changes the user’s type into an own move’s type.|Changes the user’s type into a known move’s type.|The user changes its type to match the type of one of its moves.|The user changes its type to become the same type as one of its moves. |The user changes its type to become the same type as one of its moves.|The user changes its type to become the same type as the move at the top of the list of moves it knows.
Tri Attack,Normal,Special,80,100,"Fires three kinds of beams at once.|Fires three types of beams at the same time.|A simultaneous 3-beam attack that may paralyze, burn, or freeze the foe.|The user strikes with a simultaneous three- beam attack. May also paralyze, burn, or freeze the target.|The user strikes with a simultaneous three-beam attack. May also burn, freeze, or leave the target with paralysis.|The user strikes with a simultaneous three-beam attack. May also burn, freeze, or paralyze the target.|The user strikes with a simultaneous three-beam attack. This may also burn, freeze, or paralyze the target."
Super Fang,Normal,Physical,0,90,Cuts the foe's HP by 1/2.|Attacks with sharp fangs and cuts half the foe’s HP.|The user attacks with sharp fangs and halves the foe’s HP.|The user chomps hard on the foe with its sharp front fangs. It cuts the target’s HP to half.|The user chomps hard on the target with its sharp front fangs. It cuts the target’s HP to half.|The user chomps hard on the target with its sharp front fangs. This cuts the target’s HP in half.
Slash,Normal,Physical,70,100,"Has a high criti­ cal hit ratio.|Slashes with claws, etc. Has a high critical-hit ratio.|The foe is slashed with claws, etc. It has a high critical-hit ratio.|The foe is attacked with a slash of claws, etc. It has a high critical-hit ratio.|The target is attacked with a slash of claws or blades. Critical hits land more easily."
Substitute,Normal,Status,0,100,Makes a decoy with 1/4 user's max HP.|Creates a decoy using 1/4 of the user’s maximum HP.|The user creates a decoy using one- quarter of its full HP.|The user makes a copy of itself using some of its HP. The copy serves as the user’s decoy.|The user creates a substitute for itself using some of its HP. The substitute serves as the user’s decoy.
Struggle,Normal,Physical,50,100,Used only if all PP are exhausted.|Used only if all PP are gone. Also hurts the user a little.|An attack that is used only if there is no PP. It also hurts the user.|An attack that is used in desperation only if the user has no PP. It also hurts the user slightly.|An attack that is used in desperation only if the user has no PP. This also damages the user a little.|This attack is used in desperation only if the user has no PP. It also damages the user a little.
Sketch,Normal,Status,0,100,"Copies the foe's move permanently.|Copies the foe’s last move permanently.|This move copies the move last used by the foe, then disappears.|It enables the user to learn a move used by the foe. Once used, the move Sketch disappears.|It enables the user to permanently learn the move last used by the foe. Once used, Sketch disappears.|It enables the user to permanently learn the move last used by the target. Once used, Sketch disappears."
Triple Kick,Fighting,Physical,10,90,Hits three times with rising power.|Kicks the foe 3 times in a row with rising intensity.|A 3-kick attack that becomes more powerful with each successive hit.|A consecutive three- kick attack that becomes more powerful with each  successive hit.|A consecutive three-kick attack that becomes more powerful with each  successive hit.|A consecutive three-kick attack that becomes more powerful with each successive hit.|A consecutive three-kick attack that becomes more powerful with each successful hit.
Thief,Dark,Physical,60,100,"An attack that may steal a held item.|While attacking, it may steal the foe’s held item.|An attack that may take the foe’s held item if the user isn’t holding one.|The user attacks and steals the foe’s held item simultaneously. It can’t steal if the user holds an item.|The user attacks and steals the target’s held item simultaneously. It can’t steal if the user holds an item.|The user attacks and steals the target’s held item simultaneously. The user can’t steal anything if it already holds an item."
Spider Web,Bug,Status,0,100,"Prevents fleeing or switching.|Ensnares the foe to stop it from fleeing or switching.|Ensnares the foe  with sticky string so it doesn’t flee or switch out.|The user ensnares the foe with a thin, gooey silk so it can’t flee from battle. |The user ensnares the target with thin, gooey silk so it can’t flee from battle.|This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Mind Reader,Normal,Status,0,100,Ensures the next attack will hit.|Senses the foe’s action to ensure the next move’s hit.|The user predicts the foe’s action to ensure its next attack hits.|The user senses the foe’s movements with its mind to ensure its next attack does not miss.|The user senses the target’s movements with its mind to ensure its next attack does not miss the target.
Nightmare,Ghost,Status,0,100,"A sleeper loses 1/4 HP every turn.|Inflicts 1/4 damage on a sleeping foe every turn.|A sleeping foe is shown a nightmare that inflicts some damage every turn.|A sleeping foe is shown a nightmare that inflicts some damage every turn. |A sleeping target sees a nightmare that inflicts some damage every turn.|This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Flame Wheel,Fire,Physical,60,100,An attack that may cause a burn.|A fiery charge attack that may inflict a burn.|The user makes a fiery charge at the foe. It may cause a burn.|The user cloaks itself in fire and charges at the foe. It may also leave the target with a burn.|The user cloaks itself in fire and charges at the target. It may also leave the target with a burn.|The user cloaks itself in fire and charges at the target. This may also leave the target with a burn.
Snore,Normal,Special,50,100,An attack useable only while asleep.|A loud attack that can be used only while asleep.|An attack that can be used only while asleep. It may cause flinching.|An attack that can be used only if the user is asleep. The harsh noise may also make the foe flinch.|An attack that can be used only if the user is asleep. The harsh noise may also make the target flinch.|This attack can be used only if the user is asleep. The harsh noise may also make the target flinch.
Curse,Ghost,Status,0,100,Works differently for ghost-types.|A move that functions differently for GHOSTS.|A move that works differently for the GHOST-type and all the other types.|A move that works differently for the Ghost type than for all the other types. |A move that works differently for the Ghost type than for all other types.
Flail,Normal,Physical,0,100,"Stronger if the user's HP is low.|Inflicts more damage when the user’s HP is down.|A desperate attack that becomes more powerful the less HP the user has.|The user flails about aimlessly to attack. It becomes more powerful the less HP the user has.|The user flails about aimlessly to attack. The less HP the user has, the greater the move’s power."
Conversion 2,Normal,Status,0,100,The user's type is made resistant.|Makes the user resistant to the last attack’s type.|The user changes type to make itself resistant to the last attack it took.|The user changes its type to make itself resistant to the type of the attack it last took.|The user changes its type to make itself resistant to the type of the attack the opponent used last.|The user changes its type to make itself resistant to the type of the attack the target used last.
Aeroblast,Flying,Special,100,95,Has a high criti­ cal hit ratio.|Launches a vacuumed blast. High critical-hit ratio.|A vortex of air is shot at the foe. It has a high critical-hit ratio.|A vortex of air is shot at the foe to inflict damage. It has a high critical-hit ratio.|A vortex of air is shot at the target to inflict damage. Critical hits land more easily.
Cotton Spore,Grass,Status,0,100,"Sharply reduces the foe's SPEED.|Spores cling to the foe, sharply reducing SPEED.|Cotton-like spores cling to the foe, sharply reducing its SPEED stat.|The user releases cottonlike spores that cling to the foe, sharply reducing its Speed stat.|The user releases cotton-like spores that cling to the target, harshly reducing its Speed stat.|The user releases cotton-like spores that cling to the opposing Pokémon, which harshly lowers their Speed stats.|The user releases cotton-like spores that cling to the opposing Pokémon, which harshly lowers their Speed stat.|The user releases cotton-like spores that cling to opposing Pokémon, which harshly lowers their Speed stats."
Reversal,Fighting,Physical,0,100,Stronger if the user's HP is low.|Inflicts more damage when the user’s HP is down.|An all-out attack that becomes more powerful the less HP the user has.|An all-out attack that becomes more powerful the less HP the user has. 
Spite,Ghost,Status,0,100,Cuts the PP of the foe's last move.|Spitefully cuts the PP of the foe’s last move.|A move that cuts 2 to 5 PP from the move last used by the foe.|The user looses its grudge on the move last used by the foe by cutting 4 PP from it.|The user unleashes its grudge on the move last used by the target by cutting 4 PP from it.
Powder Snow,Ice,Special,40,100,An attack that may cause freezing.|Blasts the foe with a snowy gust. May cause freezing.|Blasts the foe with a snowy gust. It may cause freezing.|The user attacks with a chilling gust of powdery snow. It may also freeze the target.|The user attacks with a chilling gust of powdery snow. It may also freeze the targets.|The user attacks with a chilling gust of powdery snow. This may also freeze the opposing Pokémon.|The user attacks with a chilling gust of powdery snow. This may also freeze opposing Pokémon.
Protect,Normal,Status,0,100,"Foils attack that turn. It may fail.|Evades attack, but may fail if used in succession.|Enables the user to evade all attacks. It may fail if used in succession.|It enables the user to evade all attacks. Its chance of failing rises if it is used in succession.|Enables the user to evade all attacks. Its chance of failing rises if it is used in succession.|Enables the user to protect itself from all attacks. Its chance of failing rises if it is used in succession.|This move enables the user to protect itself from all attacks. Its chance of failing rises if it is used in succession."
Mach Punch,Fighting,Physical,40,100,A fast punch that lands first.|A punch is thrown at wicked speed to strike first.|A punch thrown at blinding speed. It is certain to strike first.|The user throws a punch at blinding speed. It is certain to strike first.|The user throws a punch at blinding speed. This move always goes first.
Scary Face,Normal,Status,0,100,Sharply reduces the foe's SPEED.|Frightens with a scary face to sharply reduce SPEED.|Frightens the foe with a scary face to sharply reduce its SPEED.|The user frightens the foe with a scary face to sharply reduce its Speed stat.|The user frightens the target with a scary face to harshly reduce its Speed stat.|The user frightens the target with a scary face to harshly lower its Speed stat.
Feint Attack,Dark,Physical,60,100,"An attack that never misses.|Draws the foe close, then strikes without fail.|The user draws up close to the foe disarmingly, then hits without fail.|The user draws up to the foe disarmingly, then throws a sucker punch. It hits without fail.|The user approaches the target disarmingly, then throws a sucker punch. It hits without fail.|The user approaches the target disarmingly, then throws a sucker punch. This attack never misses.|This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Sweet Kiss,Fairy,Status,0,75,"A move that causes confusion.|Demands a kiss with a cute look. May cause confusion.|The user kisses the foe with sweet cuteness that causes confusion.|The user kisses the foe with a sweet, angelic cuteness that causes confusion. |The user kisses the target with a sweet, angelic cuteness that causes confusion."
Belly Drum,Normal,Status,0,100,Reduces own HP to maximize ATTACK.|Maximizes ATTACK while sacrificing HP.|The user maximizes its ATTACK stat at the cost of half its full HP.|The user maximizes its Attack stat in exchange for HP equal to half its max HP.
Sludge Bomb,Poison,Special,90,100,An attack that may poison the foe.|Sludge is hurled to inflict damage. May also poison.|Filthy sludge is hurled at the foe. It may poison the target.|The user attacks by hurling filthy sludge at the foe. It may also poison the target.|Unsanitary sludge is hurled at the target. It may also poison the target.|Unsanitary sludge is hurled at the target. This may also poison the target.
Mud Slap,Ground,Special,20,100,Reduces the foe's accuracy.|Hurls mud in the foe’s face to reduce its accuracy.|Mud is hurled in the foe’s face to inflict damage and lower its accuracy.|The user hurls mud in the foe’s face to inflict damage and lower its accuracy. |The user hurls mud in the target’s face to inflict damage and lower its accuracy.
Octazooka,Water,Special,65,85,An attack that may reduce accuracy.|Fires a lump of ink to damage and cut accuracy.|Ink is blasted in the foe’s face or eyes to damage and lower accuracy.|The user attacks by spraying ink in the foe’s face or eyes. It may also lower the target’s accuracy.|The user attacks by spraying ink in the target’s face or eyes. It may also lower the target’s accuracy.|The user attacks by spraying ink in the target’s face or eyes. This may also lower the target’s accuracy.
Spikes,Ground,Status,0,100,Hurts foes when they switch out.|Sets spikes that hurt a  foe switching out.|Sets spikes that hurt a  foe switching in.|A trap of spikes is laid around the foe’s party to hurt foes switching in.|The user lays a trap of spikes at the foe’s feet. The trap hurts foes that switch into battle.|The user lays a trap of spikes at the opposing team’s feet. The trap hurts Pokémon that switch into battle.
Zap Cannon,Electric,Special,120,50,"An attack that always paralyzes.|Powerful and sure to cause paralysis, but inaccurate.|An electric blast is fired like a cannon to inflict damage and paralyze.|The user fires an electric blast like a cannon to inflict damage and cause paralysis."
Foresight,Normal,Status,0,100,"Negates accuracy reduction moves.|Negates the foe’s efforts to heighten evasiveness.|Completely negates the foe’s efforts to heighten its ability to evade.|Enables the user to hit a Ghost type with any type of move. It also enables the user to hit an evasive foe.|Enables a Ghost-type target to be hit by Normal- and Fighting-type attacks. It also enables an evasive target to be hit.|Enables a Ghost-type target to be hit by Normal- and Fighting-type attacks. This also enables an evasive target to be hit.|This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
Destiny Bond,Ghost,Status,0,100,"The foe faints if the user does.|If the user faints, the foe is also made to faint.|If the user faints, the foe delivering the final hit also faints.|When this move is used, if the user faints, the foe that landed the knockout hit also faints.|When this move is used, if the user faints, the Pokémon that landed the knockout hit also faints.|After using this move, if the user faints, the Pokémon that landed the knockout hit also faints. Its chance of failing rises if it is used in succession."
Perish Song,Normal,Status,0,100,"Both user and foe faint in 3 turns.|Any POKéMON hearing this song faints in 3 turns.|Any battler that hears this faints in three turns unless it switches.|Any Pokémon that hears this song faints in three turns unless it switches out of battle.|Any Pokémon that hears this song faints in three turns, unless it switches out of battle."
Icy Wind,Ice,Special,55,95,An icy attack that lowers SPEED.|A chilling attack that lowers the foe’s SPEED.|A chilling wind is used to attack. It also lowers the SPEED stat.|The user attacks with a gust of chilled air. It also lowers the target’s Speed stat. |The user attacks with a gust of chilled air. It also reduces the targets’ Speed stat.|The user attacks with a gust of chilled air. This also lowers the opposing Pokémon’s Speed stats.|The user attacks with a gust of chilled air. This also lowers opposing Pokémon’s Speed stats.
Detect,Fighting,Status,0,100,"Evades attack that turn. It may fail.|Evades attack, but may fail if used in succession.|Enables the user to evade all attacks. It may fail if used in succession.|It enables the user to evade all attacks. Its chance of failing rises if it is used in succession.|Enables the user to evade all attacks. Its chance of failing rises if it is used in succession.|This move enables the user to protect itself from all attacks. Its chance of failing rises if it is used in succession."
Bone Rush,Ground,Physical,25,90,An attack that hits 2-5 times.|Strikes the foe with a bone in hand 2 to 5 times.|The user strikes the foe with a bone in hand two to five times.|The user strikes at the foe with a hard bone two to five times in a row. |The user strikes the target with a hard bone two to five times in a row.
Lock On,Normal,Status,0,100,"Ensures the next attack will hit.|Locks on to the foe to ensure the next move hits.|The user locks on to the foe, making the next move sure to hit.|The user takes sure aim at the foe. It ensures the next attack does not fail to hit the target.|The user takes sure aim at the target. It ensures the next attack does not fail to hit the target.|The user takes sure aim at the target. This ensures the next attack does not miss the target."
Outrage,Dragon,Physical,120,100,"Works 2-3 turns and confuses user.|A rampage of 2 to 3 turns that confuses the user.|The user thrashes about for two to three turns, then becomes confused.|The user rampages and attacks for two to three turns. However, it then becomes confused.|The user rampages and attacks for two to three turns. It then becomes confused, however.|The user rampages and attacks for two to three turns. The user then becomes confused.|The Pokémon rampages and attacks for two to three turns. It then becomes confused."
Sandstorm,Rock,Status,0,100,"Inflicts damage every turn.|Causes a sandstorm that rages for several turns.|A 5-turn sandstorm that damages all types except ROCK, GROUND, and STEEL.|A five-turn sand­ storm is summoned to hurt all combatant types except Rock,  Ground, and Steel.|A five-turn sandstorm is summoned to hurt all combatants except the Rock, Ground, and Steel types.|A five-turn sandstorm is summoned to hurt all combatants except the Rock, Ground, and Steel types. It raises the Sp. Def stat of Rock types.|A five-turn sandstorm is summoned to hurt all combatants except Rock, Ground, and Steel types. It raises the Sp. Def stat of Rock types."
Giga Drain,Grass,Special,75,100,Steals 1/2 of the damage inflicted.|An attack that steals half the damage inflicted.|A harsh attack that absorbs half the damage it inflicted to restore HP.|A nutrient-draining attack. The user’s HP is restored by half the damage taken by the target.
Endure,Normal,Status,0,100,"Always leaves at least 1HP.|Endures any attack for 1 turn, leaving at least 1HP.|The user endures any hit with 1 HP left. It may fail if used in succession.|The user endures any attack, leaving 1 HP. Its chance of failing rises if it is used in succession.|The user endures any attack with at least 1 HP. Its chance of failing rises if it is used in succession."
Charm,Fairy,Status,0,100,"Sharply lowers the foe's ATTACK.|Charms the foe and sharply reduces its ATTACK.|The foe is charmed by the user’s cute appeals, sharply cutting its ATTACK.|The user charmingly stares at the foe, making it less wary. The target’s Attack is sharply lowered.|The user gazes at the target rather charmingly, making it less wary. The target’s Attack is harshly lowered.|The user gazes at the target rather charmingly, making it less wary. This harshly lowers its Attack stat.|The user gazes at the target rather charmingly, making it less wary. This harshly lowers the target’s Attack stat."
