name,abilities,moves,levels,tms,trs
Unown,Levitate,Hidden Power,1,10,
Wobbuffet,Shadow Tag-Telepathy,Safeguard-Counter-Mirror Coat-Destiny Bond,1-1-1-1,20,17-30
Girafarig,Inner Focus-Early Bird-Sap Sipper,Astonish-Power Swap-Tackle-Guard Swap-Confusion-Growl-Odor Sleuth-Assurance-Stomp-Psybeam-Agility-Double Hit-Zen Headbutt-Crunch-Baton Pass-Nasty Plot-Psychic,1-1-1-1-1-1-5-10-14-19-23-28-32-37-41-46-50,1-3-4-6-10-11-16-17-18-21-24-25-26-27-29-30-32-33-42-44-45-46-48-49-53-57-73-77-78-85-86-87-88-90-92-99-100,
Pineco,Sturdy-Overcoat,Protect-Tackle-Self Destruct-Bug Bite-Take Down-Rapid Spin-Bide-Natural Gift-Spikes-Payback-Explosion-Iron Defense-Gyro Ball-Double Edge,1-1-6-9-12-17-20-23-28-31-34-39-42-45,6-9-10-11-16-17-21-22-26-27-32-33-37-39-42-44-45-48-64-66-74-78-80-87-88-90-100,
Forretress,Sturdy-Overcoat,Autotomize-Mirror Shot-Protect-Bug Bite-Self Destruct-Tackle-Toxic Spikes-Magnet Rise-Heavy Slam-Zap Cannon-Take Down-Rapid Spin-Bide-Natural Gift-Spikes-Payback-Explosion-Iron Defense-Gyro Ball-Double Edge,0-0-1-1-1-1-1-1-1-1-12-17-20-23-28-32-36-42-46-50,6-9-10-11-15-16-17-21-22-26-27-32-33-37-39-42-44-45-48-64-66-68-69-72-74-78-80-87-88-90-91-100,
Dunsparce,Serene Grace-Run Away-Rattled,Defense Curl-Rage-Rollout-Spite-Pursuit-Screech-Mud Slap-Yawn-Ancient Power-Body Slam-Drill Run-Roost-Take Down-Coil-Dig-Glare-Double Edge-Endeavor-Air Slash-Dragon Rush-Endure-Flail,1-1-3-6-8-11-13-16-18-21-23-26-28-31-33-36-38-41-43-46-48-51,4-6-10-11-13-14-17-18-19-21-22-24-25-26-27-30-32-35-38-39-42-44-45-46-48-57-73-74-77-78-80-84-85-87-88-90-93-100,1-2-5-6-8-9-10-12-15-17-20-26-27-29-31-33-49-52-57-69-76-82-86-87
Gligar,Hyper Cutter-Sand Veil-Immunity,Poison Sting-Sand Attack-Harden-Knock Off-Quick Attack-Fury Cutter-Feint Attack-Acrobatics-Slash-U Turn-Screech-X Scissor-Sky Uppercut-Swords Dance-Guillotine,1-4-7-10-13-16-19-22-27-30-35-40-45-50-55,6-9-10-11-12-17-18-19-21-26-27-31-32-36-37-39-40-41-42-44-45-46-48-51-54-56-62-66-69-71-75-78-80-81-84-87-88-89-90-97-100,
Mega Steelix,Sand Force,Bind-Fire Fang-Harden-Ice Fang-Mud Sport-Tackle-Thunder Fang-Curse-Rock Throw-Rock Tomb-Rage-Stealth Rock-Autotomize-Gyro Ball-Smack Down-Dragon Breath-Slam-Screech-Rock Slide-Crunch-Iron Tail-Dig-Stone Edge-Double Edge-Sandstorm,1-1-1-1-1-1-1-4-7-10-13-16-19-20-22-25-28-31-34-37-40-43-46-49-52,5-6-10-11-12-15-17-21-23-26-27-32-37-39-41-42-44-45-48-59-64-66-68-69-71-74-77-78-80-82-87-88-90-91-96-97-100,1-10-20-26-27-31-32-37-46-51-52-58-62-67-70-74-75-76-79-87-94-97-99
Steelix,Rock Head-Sturdy-Sheer Force,Bind-Fire Fang-Harden-Ice Fang-Mud Sport-Tackle-Thunder Fang-Curse-Rock Throw-Rock Tomb-Rage-Stealth Rock-Autotomize-Gyro Ball-Smack Down-Dragon Breath-Slam-Screech-Rock Slide-Crunch-Iron Tail-Dig-Stone Edge-Double Edge-Sandstorm,1-1-1-1-1-1-1-4-7-10-13-16-19-20-22-25-28-31-34-37-40-43-46-49-52,5-6-10-11-12-15-17-21-23-26-27-32-37-39-41-42-44-45-48-59-64-66-68-69-71-74-77-78-80-82-87-88-90-91-96-97-100,1-10-20-26-27-31-32-37-46-51-52-58-62-67-70-74-75-76-79-87-94-97-99
Snubbull,Intimidate-Run Away-Rattled,Charm-Fire Fang-Tail Whip-Ice Fang-Tackle-Scary Face-Thunder Fang-Bite-Lick-Headbutt-Roar-Rage-Play Rough-Payback-Crunch,1-1-1-1-1-1-1-7-13-19-25-31-37-43-49,1-5-6-8-10-11-12-17-18-21-22-24-25-26-27-30-31-32-33-35-36-38-41-42-44-45-46-48-50-56-66-73-78-87-88-90-93-95-99-100,
Granbull,Intimidate-Quick Feet-Rattled,Charm-Fire Fang-Tail Whip-Ice Fang-Tackle-Scary Face-Outrage-Thunder Fang-Bite-Lick-Headbutt-Roar-Rage-Play Rough-Payback-Crunch,1-1-1-1-1-1-1-1-7-13-19-27-35-43-51-59,1-5-6-8-10-11-12-15-17-18-21-22-24-25-26-27-30-31-32-33-35-36-38-39-41-42-44-45-46-48-50-52-56-66-68-71-73-78-80-87-88-90-93-95-99-100,
Qwilfish,Poison Point-Swift Swim-Intimidate,Water Gun-Hydro Pump-Tackle-Fell Stinger-Poison Sting-Spikes-Destiny Bond-Harden-Minimize-Bubble-Rollout-Toxic Spikes-Spit Up-Stockpile-Revenge-Brine-Pin Missile-Take Down-Aqua Tail-Poison Jab,1-1-1-1-1-1-1-9-9-13-17-21-25-25-29-33-37-41-45-49,6-7-9-10-12-13-14-17-18-21-27-30-32-34-36-42-44-45-48-55-64-66-73-74-84-87-88-90-94-98-100,0-3-4-5-6-16-20-21-22-23-26-27-33-37-52-54-57-78-84-91-95-98
Scizor,Swarm-Technician-Light Metal,Quick Attack-Bullet Punch-Feint-Leer-Focus Energy-Pursuit-False Swipe-Agility-Metal Claw-Fury Cutter-Slash-Razor Wind-Iron Defense-X Scissor-Night Slash-Double Hit-Iron Head-Swords Dance,1-1-1-1-5-9-13-17-21-25-29-33-37-41-45-49-50-57,6-9-10-11-15-16-17-18-19-20-21-27-31-32-37-40-42-44-45-46-48-51-54-56-59-62-68-75-81-87-88-89-90-91-100,0-12-13-20-21-26-27-29-39-46-60-61-70-74
Mega Scizor,Technician,Quick Attack-Bullet Punch-Feint-Leer-Focus Energy-Pursuit-False Swipe-Agility-Metal Claw-Fury Cutter-Slash-Razor Wind-Iron Defense-X Scissor-Night Slash-Double Hit-Iron Head-Swords Dance,1-1-1-1-5-9-13-17-21-25-29-33-37-41-45-49-50-57,6-9-10-11-15-16-17-18-19-20-21-27-31-32-37-40-42-44-45-46-48-51-54-56-59-62-68-75-81-87-88-89-90-91-100,0-12-13-20-21-26-27-29-39-46-60-61-70-74
Shuckle,Sturdy-Gluttony-Contrary,Bide-Constrict-Withdraw-Rollout-Sticky Web-Encore-Wrap-Struggle Bug-Safeguard-Rest-Rock Throw-Gastro Acid-Power Trick-Shell Smash-Rock Slide-Bug Bite-Power Split-Guard Split-Stone Edge,1-1-1-1-1-5-9-12-16-20-23-27-31-34-38-42-45-45-49,6-9-10-11-17-20-21-23-26-27-32-34-36-37-39-42-44-45-48-69-71-74-78-80-83-87-88-90-100,1-10-20-21-22-26-27-30-46-52-67-75-76-78
Mega Heracross,Skill Link,Arm Thrust-Tackle-Bullet Seed-Endure-Night Slash-Leer-Horn Attack-Feint-Aerial Ace-Chip Away-Counter-Fury Attack-Brick Break-Pin Missile-Take Down-Megahorn-Close Combat-Reversal,1-1-1-1-1-1-1-7-10-16-19-25-28-31-34-37-43-46,1-6-8-9-10-11-15-17-18-21-23-26-27-31-32-39-40-42-44-45-46-48-52-54-56-59-65-68-71-75-78-80-87-88-90-100,0-1-7-10-20-21-23-26-27-28-46-48-53-64-75-85-94-95
Heracross,Swarm-Guts-Moxie,Arm Thrust-Tackle-Bullet Seed-Endure-Night Slash-Leer-Horn Attack-Feint-Aerial Ace-Chip Away-Counter-Fury Attack-Brick Break-Pin Missile-Take Down-Megahorn-Close Combat-Reversal,1-1-1-1-1-1-1-7-10-16-19-25-28-31-34-37-43-46,1-6-8-9-10-11-15-17-18-21-23-26-27-31-32-39-40-42-44-45-46-48-52-54-56-59-65-68-71-75-78-80-87-88-90-100,0-1-7-10-20-21-23-26-27-28-46-48-53-64-75-85-94-95
Sneasel,Inner Focus-Keen Eye-Pickpocket,Taunt-Leer-Scratch-Quick Attack-Feint Attack-Icy Wind-Fury Swipes-Agility-Metal Claw-Hone Claws-Beat Up-Screech-Slash-Snatch-Punishment-Ice Shard,1-1-1-8-10-14-16-20-22-25-28-32-35-40-44-47,4-6-7-10-11-12-13-14-17-18-21-27-30-31-32-33-40-41-42-44-45-46-47-48-54-56-63-65-66-75-77-81-84-85-87-88-90-94-95-97-100,0-4-5-6-7-12-20-26-27-31-33-37-49-57-58-60-81-95
Teddiursa,Pickup-Quick Feet-Honey Gather,Fling-Baby Doll Eyes-Covet-Fake Tears-Scratch-Lick-Fury Swipes-Feint Attack-Sweet Scent-Play Nice-Slash-Charm-Snore-Rest-Thrash,1-1-1-1-1-1-8-15-22-25-29-36-43-43-50,1-5-6-8-10-11-12-17-18-21-26-27-31-32-39-40-41-42-44-45-46-48-56-65-66-75-78-80-87-88-90-100,
Ursaring,Guts-Quick Feet-Unnerve,Covet-Leer-Fake Tears-Scratch-Lick-Hammer Arm-Fury Swipes-Feint Attack-Sweet Scent-Play Nice-Slash-Scary Face-Rest-Snore-Thrash,1-1-1-1-1-1-8-15-22-25-29-38-47-49-58,1-5-6-8-10-11-12-15-17-18-21-23-26-27-31-32-39-40-41-42-44-45-46-48-52-56-65-66-68-71-75-78-80-87-88-90-100,
Slugma,Magma Armor-Flame Body-Weak Armor,Smog-Yawn-Ember-Rock Throw-Harden-Incinerate-Clear Smog-Ancient Power-Flame Burst-Rock Slide-Lava Plume-Amnesia-Body Slam-Recover-Flamethrower-Earth Power,1-1-6-8-13-15-20-22-27-29-34-36-41-43-48-50,6-10-11-16-17-21-27-32-33-35-38-39-42-43-44-45-48-50-61-80-83-87-88-90-96-100,
Magcargo,Magma Armor-Flame Body-Weak Armor,Shell Smash-Rock Throw-Smog-Earth Power-Yawn-Ember-Harden-Incinerate-Clear Smog-Ancient Power-Flame Burst-Rock Slide-Lava Plume-Amnesia-Body Slam-Recover-Flamethrower,0-1-1-1-1-1-13-15-20-22-27-29-34-36-43-47-54,6-10-11-15-16-17-21-22-23-26-27-32-33-35-37-38-39-42-43-44-45-48-50-61-64-68-69-71-74-78-80-83-87-88-90-96-100,
Swinub,Oblivious-Snow Cloak-Thick Fat,Odor Sleuth-Tackle-Mud Sport-Powder Snow-Mud Slap-Endure-Mud Bomb-Icy Wind-Ice Shard-Take Down-Mist-Earthquake-Flail-Blizzard-Amnesia,1-1-5-8-11-14-18-21-24-28-35-37-40-44-48,5-6-7-10-13-14-16-17-18-21-26-27-32-33-37-39-42-44-45-48-78-80-87-88-90-100,1-5-6-10-17-20-26-27-39-67-76
Piloswine,Oblivious-Snow Cloak-Thick Fat,Fury Attack-Odor Sleuth-Powder Snow-Ancient Power-Mud Sport-Peck-Mud Slap-Endure-Mud Bomb-Icy Wind-Ice Fang-Take Down-Mist-Thrash-Earthquake-Blizzard-Amnesia,0-1-1-1-1-1-11-14-18-21-24-28-37-41-46-52-58,5-6-7-10-13-14-15-16-17-18-21-26-27-32-33-37-39-42-44-45-48-68-71-78-80-87-88-90-100,1-5-6-10-17-20-26-27-39-67-75-76-94
Galarian Corsola,Hustle-Natural Cure-Regenerator,Harden-Tackle-Astonish-Disable-Spite-Ancient Power-Hex-Curse-Strength Sap-Power Gem-Night Shade-Grudge-Mirror Coat,1-1-5-10-15-20-25-30-35-40-45-50-55,,1-3-4-5-6-10-11-17-20-26-27-33-46-49-63-67-75-76-84-95-98
Corsola,Hustle-Natural Cure-Regenerator,Harden-Tackle-Bubble-Recover-Bubble Beam-Refresh-Ancient Power-Spike Cannon-Lucky Chant-Brine-Iron Defense-Rock Blast-Endure-Aqua Ring-Power Gem-Mirror Coat-Earth Power-Flail,1-1-4-8-10-13-17-20-23-27-29-31-35-38-41-45-47-50,4-6-7-10-11-13-14-16-17-18-20-21-26-27-29-30-32-33-37-39-42-44-45-48-55-64-69-71-78-80-87-88-90-94-96-100,1-3-4-5-6-10-11-17-20-26-27-33-46-49-63-67-75-76-84-95-98
Remoraid,Hustle-Sniper-Moody,Water Gun-Lock On-Psybeam-Aurora Beam-Bubble Beam-Focus Energy-Water Pulse-Signal Beam-Ice Beam-Bullet Seed-Hydro Pump-Hyper Beam-Soak,1-6-10-14-18-22-26-30-34-38-42-46-50,6-10-11-13-14-15-17-18-21-23-27-29-32-35-38-42-44-45-46-48-55-57-73-87-88-90-94-98-100,2-3-4-5-6-11-13-15-16-20-26-27-59-73-84
Octillery,Suction Cups-Sniper-Moody,Octazooka-Aurora Beam-Water Gun-Constrict-Gunk Shot-Psybeam-Rock Blast-Bubble Beam-Focus Energy-Wring Out-Signal Beam-Ice Beam-Bullet Seed-Hydro Pump-Hyper Beam-Soak,0-1-1-1-1-1-1-18-22-28-34-40-46-52-58-64,6-10-11-13-14-15-17-18-21-23-27-29-32-34-35-36-38-42-44-45-46-48-53-55-57-66-68-73-87-88-90-91-94-98-100,2-3-4-5-6-11-13-15-16-20-22-26-27-59-65-70-73-78-84-98
Delibird,Vital Spirit-Hustle-Insomnia,Present-Drill Peck,1-25,6-7-10-13-14-17-18-21-27-31-32-40-42-44-45-46-48-56-59-70-76-79-87-88-90-100,1-5-6-12-20-23-26-27-29-34-59-66-73-87
Mantine,Swift Swim-Water Absorb-Water Veil,Roost-Supersonic-Bubble Beam-Bubble-Tackle-Bullet Seed-Psybeam-Signal Beam-Confuse Ray-Wing Attack-Headbutt-Water Pulse-Wide Guard-Take Down-Agility-Air Slash-Aqua Ring-Bounce-Hydro Pump,1-1-1-1-1-1-1-1-11-14-16-19-23-27-32-36-39-46-49,6-7-10-13-14-15-17-18-19-21-26-27-32-39-40-42-44-45-48-55-62-68-78-80-87-88-90-94-98-100,1-3-4-5-6-10-12-16-17-20-26-27-59-73-74-84-89-98-99
Skarmory,Keen Eye-Sturdy-Weak Armor,Peck-Leer-Sand Attack-Metal Claw-Air Cutter-Fury Attack-Feint-Swift-Spikes-Agility-Steel Wing-Slash-Metal Sound-Air Slash-Autotomize-Night Slash,1-1-6-9-12-17-20-23-28-31-34-39-42-45-50-53,5-6-10-11-12-17-19-21-27-32-37-39-40-41-42-44-45-46-48-51-58-66-75-76-80-81-87-88-90-91-97-100,0-12-20-23-26-27-37-46-58-60-66-70-74-76-99
Houndour,Early Bird-Flash Fire-Unnerve,Leer-Ember-Howl-Smog-Roar-Bite-Odor Sleuth-Beat Up-Fire Fang-Feint Attack-Embargo-Foul Play-Flamethrower-Crunch-Nasty Plot-Inferno,1-1-4-8-13-16-20-25-28-32-37-40-44-49-52-56,5-6-10-11-12-17-21-22-27-30-32-35-36-38-41-42-43-44-45-46-48-50-61-63-66-85-87-88-90-95-97-100,
Houndoom,Early Bird-Flash Fire-Unnerve,Nasty Plot-Smog-Howl-Inferno-Leer-Ember-Thunder Fang-Roar-Bite-Odor Sleuth-Beat Up-Fire Fang-Feint Attack-Embargo-Foul Play-Flamethrower-Crunch,1-1-1-1-1-1-1-13-16-20-26-30-35-41-45-50-56,5-6-10-11-12-15-17-21-22-27-30-32-35-36-38-41-42-43-44-45-46-48-50-61-63-66-68-85-87-88-90-95-97-100,
Mega Houndoom,Early Bird-Flash Fire-Unnerve,Nasty Plot-Smog-Howl-Inferno-Leer-Ember-Thunder Fang-Roar-Bite-Odor Sleuth-Beat Up-Fire Fang-Feint Attack-Embargo-Foul Play-Flamethrower-Crunch,1-1-1-1-1-1-1-13-16-20-26-30-35-41-45-50-56,5-6-10-11-12-15-17-21-22-27-30-32-35-36-38-41-42-43-44-45-46-48-50-61-63-66-68-85-87-88-90-95-97-100,
Kingdra,Swift Swim-Sniper-Damp,Water Gun-Hydro Pump-Bubble-Smokescreen-Leer-Yawn-Twister-Bubble Beam-Focus Energy-Brine-Agility-Dragon Pulse-Dragon Dance,1-1-1-1-1-1-17-21-26-31-38-45-52,6-7-10-13-14-15-17-18-21-27-32-42-44-45-48-55-60-68-87-88-90-91-94-98-100,1-3-4-5-6-12-13-16-20-24-26-27-45-51-62-70-74-84-89-98
Phanpy,Pickup-Sand Veil,Defense Curl-Odor Sleuth-Tackle-Growl-Flail-Rollout-Natural Gift-Endure-Slam-Take Down-Charm-Last Resort-Double Edge,1-1-1-1-6-10-15-19-24-28-33-37-42,5-6-10-11-17-21-26-27-32-37-39-42-44-45-48-49-78-80-87-88-90-100,
Donphan,Sturdy-Sand Veil,Fury Attack-Fire Fang-Defense Curl-Bulldoze-Growl-Thunder Fang-Horn Attack-Rapid Spin-Rollout-Assurance-Knock Off-Slam-Magnitude-Scary Face-Earthquake-Giga Impact,0-1-1-1-1-1-1-6-10-15-19-24-30-37-43-50,5-6-10-11-15-17-21-26-27-32-37-39-42-44-45-48-49-59-68-69-71-74-78-80-84-87-88-90-100,
Porygon2,Trace-Download-Analytic,Defense Curl-Conversion-Conversion 2-Tackle-Magic Coat-Zap Cannon-Psybeam-Agility-Recover-Magnet Rise-Signal Beam-Recycle-Discharge-Lock On-Tri Attack-Hyper Beam,1-1-1-1-1-1-7-12-18-23-29-34-40-45-50-67,3-6-10-11-13-14-15-17-18-21-22-24-25-27-29-30-32-40-42-44-46-48-57-68-73-77-85-87-88-90-92-100,5-6-8-9-11-12-19-20-25-26-27-31-33-38-69-81-83
Stantler,Intimidate-Frisk-Sap Sipper,Tackle-Me First-Leer-Astonish-Hypnosis-Stomp-Sand Attack-Take Down-Confuse Ray-Calm Mind-Role Play-Zen Headbutt-Jump Kick-Imprison-Captivate,1-1-3-7-10-13-16-21-23-27-33-38-43-49-50,1-3-4-5-6-10-11-16-17-18-21-22-24-25-26-27-29-30-32-33-42-44-45-46-48-53-57-68-73-77-78-85-87-88-90-92-93-100,
Smeargle,Own Tempo-Technician-Moody,Sketch,1,,
Tyrogue,Guts-Steadfast-Vital Spirit,Foresight-Helping Hand-Fake Out-Tackle,1-1-1-1,1-6-8-10-11-17-18-21-26-27-31-32-42-44-45-46-47-48-78-80-87-88-90-100,1-7-10-13-20-26-27-35-48-85
Hitmontop,Intimidate-Technician-Steadfast,Rolling Kick-Quick Attack-Detect-Pursuit-Focus Energy-Revenge-Close Combat-Endeavor-Rapid Spin-Feint-Counter-Triple Kick-Agility-Gyro Ball-Quick Guard-Wide Guard,0-1-1-1-1-1-1-1-19-24-28-33-37-42-46-46,1-6-8-10-11-17-18-21-26-27-31-32-37-40-42-44-45-46-47-48-71-74-78-80-87-88-90-100,1-7-10-12-13-20-26-27-35-48-52-53-64-75-85-87
Smoochum,Oblivious-Forewarn-Hydration,Pound-Lick-Sweet Kiss-Powder Snow-Confusion-Sing-Heart Stamp-Mean Look-Fake Tears-Lucky Chant-Avalanche-Psychic-Copycat-Perish Song-Blizzard,1-5-8-11-15-18-21-25-28-31-35-38-41-45-48,3-4-6-7-10-13-14-16-17-18-21-27-29-30-32-33-42-44-45-46-48-49-56-66-70-77-79-85-86-87-88-90-92-100,1-5-6-11-14-20-25-26-27-30-33-35-38-40-49-68-69-77-82
Elekid,Static-Vital Spirit,Quick Attack-Leer-Thunder Shock-Low Kick-Swift-Shock Wave-Thunder Wave-Electro Ball-Light Screen-Thunder Punch-Discharge-Screech-Thunderbolt-Thunder,1-1-5-8-12-15-19-22-26-29-33-36-40-43,6-10-16-17-18-21-24-25-27-29-31-32-42-44-45-46-48-56-57-72-73-87-88-90-93-100,1-7-8-9-11-20-26-27-35-80-86
Magby,Flame Body-Vital Spirit,Smog-Leer-Ember-Smokescreen-Feint Attack-Fire Spin-Clear Smog-Flame Burst-Confuse Ray-Fire Punch-Lava Plume-Sunny Day-Flamethrower-Fire Blast,1-1-5-8-12-15-19-22-26-29-33-36-40-43,6-10-11-17-21-27-29-31-32-35-38-42-43-44-45-46-48-50-56-61-87-88-90-100,1-2-7-11-13-15-20-26-27-31-35-36-43-55
Miltank,Thick Fat-Scrappy-Sap Sipper,Tackle-Growl-Defense Curl-Stomp-Milk Drink-Bide-Rollout-Body Slam-Zen Headbutt-Captivate-Gyro Ball-Heal Bell-Wake Up Slap,1-3-5-8-11-15-19-24-29-35-41-48-50,1-6-10-11-13-14-15-17-18-21-22-24-25-26-27-30-31-32-37-39-42-44-45-48-49-52-56-68-73-74-77-78-80-87-88-90-94-100,1-4-5-6-8-9-10-14-20-21-26-27-31-33-52-64-69-74-76-79-85-90-94-99
Blissey,Natural Cure-Serene Grace-Healer,Defense Curl-Pound-Double Edge-Growl-Tail Whip-Refresh-Double Slap-Soft Boiled-Bestow-Minimize-Take Down-Sing-Fling-Heal Pulse-Egg Bomb-Light Screen-Healing Wish,1-1-1-1-5-9-12-16-20-23-27-31-34-39-44-50-57,1-4-6-7-10-11-13-14-15-16-17-18-20-21-22-24-25-26-27-29-30-31-32-35-37-38-39-42-44-45-48-49-52-56-57-68-73-77-78-80-85-86-87-88-90-93-99-100,1-2-5-6-8-9-10-11-14-15-19-20-26-27-31-33-35-40-42-49-64-69-76-77-82-83-85-86-92
Raikou,Pressure-Inner Focus,Bite-Discharge-Extrasensory-Leer-Thunder Shock-Roar-Quick Attack-Spark-Reflect-Crunch-Thunder Fang-Discharge-Extrasensory-Rain Dance-Calm Mind-Thunder,1-1-1-1-8-15-22-29-36-43-50-57-64-71-78-85,4-5-6-10-11-15-16-17-18-21-24-25-27-30-32-33-37-42-44-48-57-60-68-72-73-77-78-87-88-90-93-95-100,1-8-9-12-20-26-27-31-32-33-49-56-74-84-86-95
Entei,Pressure-Inner Focus,Bite-Eruption-Extrasensory-Lava Plume-Leer-Sacred Fire-Ember-Roar-Fire Spin-Stomp-Flamethrower-Swagger-Fire Fang-Fire Blast-Calm Mind,1-1-1-1-1-1-8-15-22-29-36-43-50-64-71-78,4-5-6-10-11-15-17-18-21-22-27-30-32-33-35-37-38-42-43-44-48-50-60-61-68-71-77-78-87-88-90-95-100,1-2-12-15-20-21-26-27-31-32-33-36-43-49-55-74-75
Suicune,Pressure-Inner Focus,Bite-Bubble Beam-Leer-Rain Dance-Sheer Cold-Gust-Aurora Beam-Mist-Mirror Coat-Ice Fang-Tailwind-Extrasensory-Hydro Pump-Calm Mind-Blizzard,1-1-1-1-1-22-29-36-43-50-57-64-71-78-85,4-5-6-7-10-11-13-14-15-17-18-21-27-30-32-33-37-42-44-48-55-60-68-77-78-87-88-90-94-95-98-100,1-3-4-5-6-12-16-20-26-27-31-32-33-49-74-84-98
Larvitar,Guts-Sand Veil,Bite-Leer-Sandstorm-Screech-Chip Away-Rock Slide-Scary Face-Thrash-Dark Pulse-Payback-Crunch-Earthquake-Stone Edge-Hyper Beam,1-1-5-10-14-19-23-28-32-37-41-46-50-55,6-10-11-12-15-17-18-21-23-26-27-31-32-37-39-41-42-44-45-48-66-69-71-78-80-87-88-90-95-97-100,1-10-13-20-24-26-27-31-32-35-37-39-45-46-51-58-67-74-75-76
Pupitar,Shed Skin,Bite-Screech-Leer-Sandstorm-Chip Away-Rock Slide-Scary Face-Thrash-Dark Pulse-Payback-Crunch-Earthquake-Stone Edge-Hyper Beam,1-1-1-1-14-19-23-28-34-41-47-54-60-67,6-10-11-12-15-17-18-21-23-26-27-31-32-37-39-41-42-44-45-48-66-69-71-78-80-87-88-90-95-97-100,1-10-13-20-24-26-27-31-32-35-37-39-45-46-51-58-67-74-75-76
Mega Tyranitar,Sand Stream,Fire Fang-Ice Fang-Bite-Screech-Leer-Sandstorm-Thunder Fang-Chip Away-Rock Slide-Scary Face-Thrash-Dark Pulse-Payback-Crunch-Earthquake-Stone Edge-Hyper Beam-Giga Impact,1-1-1-1-1-1-1-14-19-23-28-34-41-47-54-63-73-82,2-5-6-10-11-12-13-14-15-17-18-21-23-24-25-26-27-31-32-35-37-38-39-40-41-42-44-45-48-52-56-59-65-66-68-69-71-73-78-80-82-87-88-90-94-95-97-100,1-2-3-4-5-6-7-8-9-10-13-15-20-24-26-27-31-32-35-37-39-45-46-47-51-58-62-64-67-74-75-76-79-81-94-99
Tyranitar,Sand Stream-Unnerve,Fire Fang-Ice Fang-Bite-Screech-Leer-Sandstorm-Thunder Fang-Chip Away-Rock Slide-Scary Face-Thrash-Dark Pulse-Payback-Crunch-Earthquake-Stone Edge-Hyper Beam-Giga Impact,1-1-1-1-1-1-1-14-19-23-28-34-41-47-54-63-73-82,2-5-6-10-11-12-13-14-15-17-18-21-23-24-25-26-27-31-32-35-37-38-39-40-41-42-44-45-48-52-56-59-65-66-68-69-71-73-78-80-82-87-88-90-94-95-97-100,1-2-3-4-5-6-7-8-9-10-13-15-20-24-26-27-31-32-35-37-39-45-46-47-51-58-62-64-67-74-75-76-79-81-94-99
Lugia,Pressure-Multiscale,Weather Ball-Whirlwind-Gust-Dragon Rush-Extrasensory-Rain Dance-Hydro Pump-Aeroblast-Punishment-Ancient Power-Safeguard-Recover-Future Sight-Natural Gift-Calm Mind-Sky Attack,1-1-9-15-23-29-37-43-50-57-65-71-79-85-93-99,3-4-5-6-7-10-11-13-14-15-16-17-18-19-20-21-24-25-26-27-29-30-32-33-37-40-42-44-48-49-51-57-58-68-73-76-77-78-82-85-87-88-90-94-98-100,1-3-4-5-6-8-9-10-11-16-20-25-26-27-31-33-34-38-40-42-49-62-67-69-74-89
Ho Oh,Pressure-Regenerator,Weather Ball-Whirlwind-Gust-Brave Bird-Extrasensory-Sunny Day-Fire Blast-Sacred Fire-Punishment-Ancient Power-Safeguard-Recover-Future Sight-Natural Gift-Calm Mind-Sky Attack,1-1-9-15-23-29-37-43-50-57-65-71-79-85-93-99,4-5-6-10-11-15-16-17-18-19-20-21-22-24-25-26-27-29-30-32-33-35-37-38-40-42-43-44-48-49-50-51-57-58-61-68-73-76-77-78-85-87-88-90-100,2-8-9-10-11-15-20-26-27-33-34-36-42-43-49-55-66-67-69-74
Celebi,Natural Cure,Confusion-Heal Bell-Leech Seed-Recover-Safeguard-Magical Leaf-Ancient Power-Baton Pass-Natural Gift-Heal Block-Future Sight-Healing Wish-Leaf Storm-Perish Song,1-1-1-1-10-19-28-37-46-55-64-73-82-91,4-6-10-11-15-16-17-18-20-21-22-27-29-30-32-33-37-40-42-44-48-49-53-56-57-68-73-75-77-85-86-87-88-89-90-92-96-99-100,0-11-14-20-26-27-29-33-34-35-38-40-49-50-56-59-65-67-68-69-71-76-77-83-92-96
Treecko,Overgrow-Unburden,Leer-Pound-Absorb-Quick Attack-Mega Drain-Pursuit-Giga Drain-Agility-Slam-Detect-Energy Ball-Quick Guard-Endeavor-Screech,1-1-5-9-13-17-21-25-29-33-37-41-45-49,1-6-10-11-17-20-21-22-27-31-32-39-40-42-44-45-48-53-56-62-75-80-86-87-88-90-96-100,0-1-5-10-11-15-16-19-21-22-24-25-28-31-34-39-40-43-48-50-58-59-63-76-78-88
Grovyle,Overgrow-Unburden,Absorb-Fury Cutter-Leer-Pound-Quick Attack-Mega Drain-Pursuit-Leaf Blade-Agility-Slam-Detect-X Scissor-False Swipe-Quick Guard-Leaf Storm-Screech,1-1-1-1-1-13-18-23-28-33-38-43-48-53-58-63,1-6-10-11-17-20-21-22-27-31-32-39-40-42-44-45-47-48-53-54-56-62-75-80-81-86-87-88-90-96-100,0-1-7-12-20-26-27-31-32-50-59-60-65-71-77-85
Mega Sceptile,Overgrow-Unburden,Absorb-Dual Chop-Fury Cutter-Leaf Storm-Leer-Night Slash-Pound-Quick Attack-Mega Drain-Pursuit-Leaf Blade-Agility-Slam-Detect-X Scissor-False Swipe-Quick Guard-Screech,1-1-1-1-1-1-1-1-13-18-23-28-33-39-45-51-57-69,1-2-5-6-10-11-15-17-20-21-22-26-27-31-32-39-40-42-44-45-47-48-52-53-54-56-59-62-68-75-78-80-81-86-87-88-90-96-100,0-1-7-10-12-20-24-26-27-31-32-47-50-51-59-60-62-64-65-71-77-86-95
